date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA
12-05T09:00:00,58.4,53.1,64.0,40.0,19.0,55.0,1019.4,1014.4,1023.9,0.2,6.8,17.3,22.9,24.2,19.4,16.2,58.4,58.3,5.9,12.7,65.0,3.1,3.0,33.7,2.0,21.1
12-05T10:00:00,61.4,55.9,68.0,40.2,18.0,55.0,1019.6,1014.7,1024.2,0.7,4.4,15.0,21.5,18.1,28.9,16.4,61.4,61.4,6.0,13.8,59.0,2.5,3.0,26.9,2.0,20.7
12-05T11:00:00,63.8,57.9,71.1,39.9,18.0,55.0,1019.2,1014.1,1023.8,1.6,2.9,18.2,23.9,23.4,20.5,14.0,63.8,63.7,6.1,16.4,62.0,0.5,3.0,18.8,7.0,14.1
12-05T12:00:00,64.9,59.0,72.0,40.4,18.0,55.0,1018.3,1013.1,1022.8,2.1,2.2,19.9,22.6,23.6,20.2,13.6,64.9,64.9,7.1,14.7,252.0,2.7,7.0,27.7,6.0,15.5
12-05T13:00:00,64.9,57.9,73.0,41.9,19.9,55.9,1017.5,1012.5,1022.1,2.1,2.2,19.2,23.6,22.3,20.7,14.2,64.9,64.9,9.0,4.2,253.0,6.0,7.0,47.2,6.0,20.9
12-05T14:00:00,64.3,59.0,71.1,43.6,23.0,55.9,1017.1,1012.3,1021.6,1.6,2.3,20.1,21.9,23.5,21.6,12.9,64.3,64.3,10.1,1.8,258.0,7.6,7.0,56.7,6.0,21.7
12-05T15:00:00,63.3,57.9,69.1,44.6,26.1,57.0,1017.0,1012.3,1021.5,1.1,2.9,17.7,23.9,25.9,19.4,13.2,63.3,63.3,10.2,0.9,261.0,7.9,7.0,63.6,6.0,17.5
12-05T16:00:00,62.0,57.0,66.9,45.7,28.9,57.0,1017.1,1012.3,1021.6,0.7,3.8,16.3,22.5,21.4,25.1,14.7,62.0,61.9,10.0,2.0,262.0,7.7,7.0,63.9,6.0,15.3
12-05T17:00:00,60.2,55.9,64.9,46.7,30.0,57.0,1017.2,1012.4,1021.9,0.4,5.2,14.2,25.4,26.4,21.8,12.2,60.2,60.2,8.8,2.0,264.0,6.7,7.0,55.8,6.0,18.0
12-05T18:00:00,59.5,55.9,64.0,46.9,30.0,57.0,1017.5,1012.6,1022.2,0.2,5.8,23.8,23.5,20.0,19.1,13.6,59.5,59.5,7.4,6.7,266.0,5.2,7.0,46.4,6.0,21.7
12-05T19:00:00,59.1,55.0,63.0,46.5,28.9,57.0,1017.8,1012.8,1022.6,0.2,6.1,31.6,22.1,17.2,16.5,12.6,59.1,59.1,6.3,14.9,271.0,3.8,7.0,34.4,6.0,19.1
12-05T20:00:00,58.8,54.0,63.0,45.8,26.1,57.0,1018.1,1013.0,1022.9,0.2,6.4,35.8,21.9,14.4,15.1,12.9,58.8,58.7,5.7,20.0,289.0,2.3,7.0,22.5,1.0,14.1
12-05T21:00:00,58.2,54.0,63.0,45.0,24.4,57.0,1018.3,1013.1,1023.1,0.1,6.9,39.3,18.5,13.9,15.6,12.7,58.2,58.2,5.4,17.8,325.0,0.9,7.0,15.1,1.0,14.0
12-05T22:00:00,57.5,53.1,62.1,44.7,24.1,57.0,1018.5,1013.3,1023.3,0.1,7.6,34.9,18.5,14.1,15.3,17.3,57.5,57.5,5.2,20.0,36.0,1.1,3.0,19.6,2.0,14.5
12-05T23:00:00,57.2,53.1,62.1,43.8,23.7,55.9,1018.6,1013.6,1023.3,0.1,7.9,38.1,17.8,15.3,15.5,13.3,57.2,57.1,5.4,18.0,29.0,1.7,3.0,23.9,1.0,12.4
12-06T00:00:00,56.4,51.1,61.0,43.0,21.9,55.9,1018.5,1013.6,1023.1,0.1,8.7,34.4,20.3,14.4,17.5,13.4,56.4,56.3,5.3,16.7,43.0,2.0,3.0,27.0,2.0,16.6
12-06T01:00:00,55.5,51.1,61.0,42.4,21.0,55.9,1018.3,1013.3,1023.1,0.0,9.5,33.9,19.6,13.8,17.9,14.8,55.5,55.4,5.1,16.4,52.0,2.4,3.0,29.1,2.0,22.1
12-06T02:00:00,54.4,48.9,60.1,42.0,21.9,55.0,1018.3,1013.4,1023.0,0.0,10.6,35.1,17.9,15.9,14.1,16.9,54.4,54.1,4.9,20.9,56.0,2.6,3.0,32.9,2.0,19.0
12-06T03:00:00,53.7,48.9,59.0,41.4,21.9,55.0,1018.2,1013.2,1022.8,0.0,11.4,33.3,21.0,14.4,14.6,16.7,53.7,53.3,4.4,24.0,55.0,2.6,3.0,31.6,2.0,21.9
12-06T04:00:00,53.1,48.0,57.9,40.9,21.9,54.0,1018.0,1013.1,1022.7,0.0,11.9,29.3,18.4,14.4,18.2,19.6,53.1,52.7,4.3,25.7,52.0,2.5,3.0,29.4,2.0,23.0
12-06T05:00:00,52.6,46.9,57.9,40.5,21.0,54.0,1018.1,1013.4,1022.8,0.0,12.4,32.4,22.1,15.0,14.5,16.1,52.6,52.1,4.2,27.3,53.0,2.4,3.0,28.2,2.0,23.8
12-06T06:00:00,52.5,46.4,57.9,40.2,21.0,54.0,1018.4,1013.7,1022.9,0.0,12.6,28.8,25.1,15.5,14.1,16.5,52.5,51.9,4.3,26.7,55.0,2.6,3.0,28.9,2.0,20.7
12-06T07:00:00,53.2,46.9,59.0,39.7,19.9,54.0,1018.8,1013.9,1023.3,0.0,11.9,16.2,18.4,31.9,15.7,17.8,53.2,52.7,4.9,18.9,59.0,2.8,3.0,31.6,2.0,21.9
12-06T08:00:00,55.0,50.0,60.1,40.1,21.0,54.0,1019.2,1014.0,1023.6,0.0,10.1,16.2,19.9,27.8,18.9,17.3,55.0,54.7,5.1,16.2,61.0,3.1,3.0,31.5,2.0,24.9
12-06T09:00:00,58.2,53.1,64.0,40.4,19.9,55.0,1019.6,1014.5,1024.2,0.2,7.0,17.2,21.5,25.5,19.4,16.4,58.2,58.2,5.8,13.6,66.0,3.1,3.0,33.4,2.0,21.1
12-06T10:00:00,61.2,55.9,68.0,40.6,19.0,55.0,1019.8,1014.8,1024.4,0.7,4.5,14.5,21.7,18.5,28.9,16.4,61.2,61.2,5.9,13.8,62.0,2.4,3.0,27.0,2.0,20.3
12-06T11:00:00,63.6,57.9,71.1,40.4,18.0,55.6,1019.4,1014.2,1024.0,1.5,3.0,17.5,24.2,24.5,19.8,13.9,63.6,63.5,6.0,16.7,70.0,0.3,3.0,18.1,7.0,15.4
12-06T12:00:00,64.7,59.0,72.0,41.0,19.0,55.0,1018.5,1013.3,1023.0,2.0,2.3,19.1,23.5,24.8,18.8,13.8,64.7,64.7,7.1,14.2,250.0,3.0,7.0,29.9,6.0,17.1
12-06T13:00:00,64.7,57.9,72.0,42.4,21.0,55.9,1017.7,1012.8,1022.4,1.9,2.2,18.5,24.9,23.1,19.5,13.9,64.7,64.6,9.1,4.0,253.0,6.2,7.0,48.5,6.0,22.0
12-06T14:00:00,64.1,59.0,71.1,44.0,25.0,55.9,1017.3,1012.5,1021.9,1.5,2.4,19.7,22.6,24.7,21.0,12.1,64.1,64.1,10.1,1.6,256.0,7.8,7.0,57.3,6.0,22.4
12-06T15:00:00,63.1,57.9,69.1,45.0,27.0,57.0,1017.2,1012.6,1021.8,1.0,3.0,17.3,25.1,25.9,19.3,12.3,63.1,63.0,10.2,0.7,260.0,8.1,7.0,65.2,6.0,17.4
12-06T16:00:00,61.8,57.0,66.9,46.0,28.9,57.0,1017.3,1012.6,1021.9,0.7,3.9,15.9,23.5,21.4,24.7,14.5,61.8,61.8,9.9,1.8,261.0,7.9,7.0,64.8,6.0,16.0
12-06T17:00:00,60.0,55.9,64.9,47.1,30.9,57.0,1017.4,1012.9,1022.1,0.4,5.3,13.4,26.9,26.2,21.3,12.2,60.0,60.0,8.8,1.8,264.0,6.9,7.0,57.4,6.0,18.3
12-06T18:00:00,59.3,55.9,64.0,47.2,30.9,57.0,1017.7,1013.2,1022.3,0.2,5.9,23.0,24.3,20.8,18.3,13.6,59.3,59.3,7.5,6.2,265.0,5.4,7.0,48.9,6.0,21.2
12-06T19:00:00,59.0,55.0,63.0,46.8,30.0,57.0,1018.0,1013.3,1022.6,0.2,6.2,30.6,23.1,18.2,15.5,12.6,59.0,59.0,6.4,14.2,270.0,4.0,7.0,35.6,6.0,19.1
12-06T20:00:00,58.6,54.0,63.0,46.1,27.0,57.0,1018.2,1013.3,1022.9,0.2,6.5,34.2,22.6,16.0,14.6,12.6,58.6,58.6,5.7,19.3,284.0,2.5,7.0,24.4,6.0,13.8
12-06T21:00:00,58.1,54.0,63.0,45.4,26.1,57.0,1018.5,1013.5,1023.2,0.1,7.0,38.7,19.2,14.6,14.8,12.7,58.1,58.0,5.4,17.3,308.0,1.1,7.0,16.7,1.0,13.2
12-06T22:00:00,57.4,53.1,62.1,45.0,24.1,57.0,1018.6,1013.6,1023.4,0.1,7.7,34.9,18.9,14.6,14.4,17.1,57.4,57.3,5.2,20.0,31.0,1.0,3.0,19.4,2.0,13.8
12-06T23:00:00,57.0,53.1,62.1,44.1,24.1,55.9,1018.7,1013.8,1023.3,0.1,8.0,37.7,18.2,15.7,14.7,13.7,57.0,57.0,5.4,18.0,28.0,1.5,3.0,23.7,2.0,12.3
12-07T00:00:00,56.2,51.1,61.0,43.4,23.0,55.9,1018.6,1013.7,1023.1,0.1,8.8,34.3,20.7,15.2,16.4,13.4,56.2,56.1,5.3,16.9,43.0,1.9,3.0,27.0,2.0,17.0
12-07T01:00:00,55.3,51.1,61.0,42.8,21.9,55.0,1018.4,1013.6,1023.1,0.0,9.7,33.6,19.6,15.3,17.0,14.5,55.3,55.2,5.1,17.1,51.0,2.3,3.0,28.3,2.0,21.9
