date,HLY_TEMP_NORMAL_SF,HLY_TEMP_10PCTL_SF,HLY_TEMP_90PCTL_SF,HLY_DEWP_NORMAL_SF,HLY_DEWP_10PCTL_SF,HLY_DEWP_90PCTL_SF,HLY_PRES_NORMAL_SF,HLY_PRES_10PCTL_SF,HLY_PRES_90PCTL_SF,HLY_CLDH_NORMAL_SF,HLY_HTDH_NORMAL_SF,HLY_CLOD_PCTCLR_SF,HLY_CLOD_PCTFEW_SF,HLY_CLOD_PCTSCT_SF,HLY_CLOD_PCTBKN_SF,HLY_CLOD_PCTOVC_SF,HLY_HIDX_NORMAL_SF,HLY_WCHL_NORMAL_SF,HLY_WIND_AVGSPD_SF,HLY_WIND_PCTCLM_SF,HLY_WIND_VCTDIR_SF,HLY_WIND_VCTSPD_SF,HLY_WIND_1STDIR_SF,HLY_WIND_1STPCT_SF,HLY_WIND_2NDDIR_SF,HLY_WIND_2NDPCT_SF
07-24T16:00:00,67.8,63.0,73.0,53.9,51.1,57.0,1013.9,1010.9,1016.9,3.3,0.5,14.4,50.5,21.8,10.8,2.5,67.8,67.8,19.9,0.2,281.0,18.5,7.0,61.0,8.0,29.5
07-24T17:00:00,66.0,62.1,71.1,53.8,51.1,57.0,1013.7,1010.7,1016.7,2.1,1.0,12.9,51.2,23.0,10.8,2.1,66.0,66.0,19.3,0.2,280.0,18.0,7.0,62.5,8.0,28.8
07-24T18:00:00,63.8,59.0,68.0,53.6,50.0,57.0,1013.6,1010.6,1016.6,1.1,2.2,12.6,49.5,22.6,13.5,1.9,63.8,63.8,18.3,0.0,281.0,17.2,7.0,62.8,8.0,28.8
07-24T19:00:00,61.3,57.0,64.9,53.6,50.0,57.0,1013.8,1010.9,1016.8,0.4,4.1,11.5,46.4,24.5,13.9,3.8,61.3,61.3,16.4,0.0,281.0,15.5,7.0,64.9,8.0,27.6
07-24T20:00:00,59.7,55.9,64.0,53.5,51.1,57.0,1014.1,1011.2,1016.9,0.2,5.4,12.8,46.6,19.7,15.2,5.7,59.7,59.7,14.8,0.2,280.0,13.9,7.0,65.9,8.0,24.5
07-24T21:00:00,59.2,55.9,63.0,53.6,51.1,55.9,1014.6,1011.5,1017.6,0.2,6.0,16.5,46.9,15.1,12.7,8.7,59.2,59.2,13.3,0.4,279.0,12.5,7.0,68.4,8.0,24.2
07-24T22:00:00,58.8,55.9,63.0,53.6,51.1,57.0,1014.7,1011.8,1017.6,0.1,6.3,16.7,42.4,15.1,14.4,11.2,58.8,58.8,12.0,0.7,278.0,11.2,7.0,62.5,8.0,25.9
07-24T23:00:00,58.4,55.0,62.1,53.5,51.1,57.0,1014.7,1011.7,1017.7,0.1,6.7,16.9,40.6,17.3,12.8,12.4,58.4,58.4,10.8,1.1,279.0,10.0,7.0,60.7,8.0,25.8
07-25T00:00:00,58.1,55.0,61.0,53.5,51.1,57.0,1014.7,1011.7,1017.6,0.1,7.0,15.3,39.5,15.3,14.4,15.6,58.1,58.1,9.9,2.9,277.0,9.2,7.0,62.1,8.0,22.5
07-25T01:00:00,57.8,55.0,61.0,53.4,50.0,57.0,1014.5,1011.4,1017.6,0.0,7.2,15.0,34.1,14.8,15.0,21.1,57.8,57.8,9.5,3.6,276.0,8.7,7.0,61.8,8.0,20.7
07-25T02:00:00,57.6,55.0,61.0,53.3,50.0,55.9,1014.4,1011.4,1017.4,0.0,7.4,13.2,31.6,14.2,16.2,24.9,57.6,57.6,8.9,2.4,274.0,8.1,7.0,62.1,8.0,18.6
07-25T03:00:00,57.4,54.7,61.0,53.2,50.0,55.9,1014.3,1011.2,1017.4,0.0,7.6,11.7,26.7,14.0,19.1,28.5,57.4,57.4,8.3,5.6,273.0,7.5,7.0,59.4,6.0,15.8
07-25T04:00:00,57.2,54.0,61.0,53.0,50.0,55.9,1014.4,1011.3,1017.4,0.0,7.8,9.2,23.9,11.3,22.5,33.1,57.2,57.2,8.0,6.2,271.0,7.1,7.0,58.2,6.0,17.7
07-25T05:00:00,57.2,54.0,60.1,53.0,50.0,55.9,1014.6,1011.7,1017.6,0.0,7.9,5.8,18.3,18.1,19.1,38.7,57.2,57.2,7.5,7.3,269.0,6.5,7.0,54.6,6.0,17.0
07-25T06:00:00,57.7,55.0,61.0,53.2,50.0,55.9,1015.0,1012.0,1017.9,0.0,7.3,6.9,18.9,13.6,21.3,39.4,57.7,57.7,7.4,8.0,268.0,6.3,7.0,49.9,6.0,18.1
07-25T07:00:00,59.4,55.9,63.0,53.6,50.0,57.0,1015.3,1012.4,1018.3,0.1,5.7,7.5,18.2,16.0,18.7,39.6,59.4,59.4,6.7,16.4,268.0,5.4,7.0,32.7,8.0,22.9
07-25T08:00:00,61.4,57.9,66.0,54.0,51.1,57.2,1015.5,1012.7,1018.6,0.3,3.9,8.2,19.9,20.4,18.9,32.7,61.4,61.4,7.5,9.6,278.0,5.2,8.0,29.8,7.0,28.4
07-25T09:00:00,63.5,59.0,66.9,54.5,51.1,57.9,1015.5,1012.7,1018.6,0.7,2.3,8.8,29.5,25.1,18.7,17.9,63.5,63.5,8.9,2.2,299.0,6.0,8.0,32.4,7.0,22.4
07-25T10:00:00,65.5,61.0,69.1,54.9,51.1,59.0,1015.6,1012.7,1018.6,1.6,1.1,11.7,41.6,20.8,19.9,5.9,65.5,65.5,10.4,0.9,304.0,7.1,8.0,30.3,7.0,24.4
07-25T11:00:00,67.3,63.0,72.0,55.0,51.1,59.0,1015.4,1012.6,1018.5,2.8,0.5,15.6,49.3,19.1,12.9,3.1,67.3,67.3,12.2,1.1,303.0,9.4,8.0,40.5,7.0,23.7
