date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2021
11-28T05:00:00,53.4,48.0,59.0,40.5,21.0,54.0,1017.3,1012.9,1021.6,0.0,11.6,38.5,23.3,13.4,12.8,12.0,53.4,53.0,4.2,27.3,59.0,2.7,3.0,30.8,2.0,22.2,19193.08333333333
11-28T06:00:00,53.3,48.0,59.0,40.0,21.0,53.6,1017.6,1013.2,1022.0,0.0,11.7,29.7,26.3,17.6,15.3,11.1,53.3,52.9,4.3,26.9,59.0,2.6,3.0,29.0,2.0,22.9,19749.58333333333
11-28T07:00:00,54.0,48.9,59.0,39.4,19.9,53.1,1018.1,1013.6,1022.7,0.1,11.0,18.4,21.6,26.7,20.5,12.8,54.0,53.7,4.9,17.1,57.0,2.9,3.0,30.1,2.0,25.0,19706.25
11-28T08:00:00,56.4,51.1,62.1,39.8,19.9,54.0,1018.5,1013.9,1022.8,0.1,8.8,18.0,21.1,27.3,20.4,13.1,56.4,56.2,5.3,13.8,55.0,3.2,3.0,31.8,2.0,28.2,19047.416666666668
11-28T09:00:00,59.8,54.0,66.0,40.0,19.9,55.0,1018.9,1014.5,1023.4,0.5,5.7,20.5,20.7,24.1,22.0,12.7,59.8,59.8,5.8,13.3,63.0,3.0,3.0,34.5,2.0,22.8,18370.416666666668
11-28T10:00:00,63.0,57.0,69.1,40.2,19.0,55.0,1019.0,1014.5,1023.6,1.3,3.3,19.1,19.1,22.1,26.3,13.3,63.0,63.0,5.7,14.6,59.0,2.2,2.0,21.6,3.0,21.2,17822.833333333332
11-28T11:00:00,65.4,59.0,72.7,39.8,18.0,55.0,1018.6,1014.1,1023.2,2.5,2.0,21.1,22.1,24.4,22.1,10.2,65.4,65.4,5.8,16.2,234.0,0.1,7.0,15.7,4.0,14.4,17633.75
11-28T12:00:00,66.5,60.1,73.9,40.3,18.0,55.0,1017.7,1013.2,1022.3,3.0,1.5,22.5,19.2,25.5,23.2,9.5,66.5,66.4,7.2,13.1,252.0,3.9,7.0,34.6,6.0,17.7,17845.666666666668
11-28T13:00:00,66.2,60.1,73.9,42.2,21.0,55.9,1017.0,1012.5,1021.7,2.8,1.6,20.9,21.4,24.9,22.6,10.3,66.2,66.2,9.1,5.1,252.0,6.8,7.0,50.2,6.0,23.3,18571.33333333333
11-28T14:00:00,65.5,60.1,73.0,43.7,24.1,55.9,1016.5,1012.2,1021.2,2.3,1.8,20.9,20.9,27.3,19.1,11.7,65.5,65.5,9.9,1.3,256.0,8.1,7.0,59.6,6.0,23.9,19853.916666666668
