date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019
12-25T23:00:00,55.3,50.0,61.0,41.4,24.1,54.0,1018.9,1013.6,1023.9,0.0,9.7,37.9,16.8,14.6,15.3,15.3,55.3,55.1,5.4,16.9,49.0,2.2,3.0,26.3,2.0,13.7,263206.0
12-26T00:00:00,54.3,50.0,60.1,40.7,23.0,54.0,1018.7,1013.2,1023.6,0.0,10.8,36.7,17.1,14.4,15.4,16.4,54.3,53.9,5.2,18.7,55.0,2.4,3.0,30.3,2.0,17.1,271695.0
12-26T01:00:00,53.3,48.9,57.9,40.2,23.0,53.1,1018.6,1013.3,1023.5,0.0,11.7,38.5,17.1,14.6,14.4,15.4,53.3,52.8,5.2,17.3,50.0,2.5,3.0,28.3,2.0,19.1,242198.0
12-26T02:00:00,52.2,46.9,57.4,39.6,21.9,52.0,1018.6,1013.4,1023.6,0.0,12.8,39.2,17.2,13.2,15.0,15.5,52.2,51.6,4.7,24.0,50.0,2.3,3.0,28.0,2.0,19.4,238510.0
12-26T03:00:00,51.3,46.0,57.0,39.1,21.9,52.0,1018.6,1013.3,1023.7,0.0,13.7,39.3,17.9,13.9,13.9,15.1,51.3,50.6,4.6,24.4,50.0,2.4,3.0,27.1,2.0,21.7,238381.0
12-26T04:00:00,50.6,46.0,55.9,38.7,23.0,52.0,1018.3,1012.8,1023.3,0.0,14.4,36.3,16.5,13.4,15.8,17.9,50.6,49.7,4.4,27.0,58.0,2.5,3.0,30.7,2.0,18.1,244240.0
12-26T05:00:00,50.3,45.0,56.3,38.1,21.9,52.0,1018.3,1012.9,1023.3,0.0,14.7,35.9,19.3,14.1,13.6,17.1,50.3,49.5,4.3,27.1,60.0,2.3,3.0,28.7,2.0,17.7,258299.0
12-26T06:00:00,50.1,44.1,56.1,37.8,21.9,52.0,1018.6,1013.1,1023.6,0.0,14.9,36.0,21.1,12.9,12.7,17.4,50.1,49.3,4.4,26.2,62.0,2.3,3.0,31.2,2.0,16.4,279935.0
12-26T07:00:00,50.7,45.0,57.0,37.1,21.0,51.1,1019.0,1013.6,1023.9,0.0,14.3,16.4,22.5,26.3,21.2,13.6,50.7,49.7,5.0,19.1,64.0,2.7,3.0,31.1,2.0,21.7,295555.0
12-26T08:00:00,52.2,46.9,57.9,37.2,19.9,52.0,1019.4,1014.2,1024.3,0.0,12.8,16.3,20.9,25.7,19.8,17.3,52.2,51.5,5.2,17.1,64.0,3.1,3.0,33.5,2.0,23.6,303060.0
