date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,AvgMegawatts2019-2020
10-01T05:00:00,63.3,59.0,67.1,57.8,50.0,63.0,1012.5,1009.5,1015.5,0.6,2.3,28.0,18.6,11.5,10.7,31.3,63.3,63.3,3.3,32.9,89.0,1.0,3.0,24.7,2.0,10.5,22879.875
10-01T06:00:00,63.7,60.1,68.0,57.4,48.9,63.0,1012.9,1009.8,1015.8,0.8,2.1,16.3,17.6,20.5,14.7,30.8,63.7,63.7,3.9,23.8,87.0,0.9,3.0,26.7,7.0,10.0,24778.58333333333
10-01T07:00:00,65.2,61.0,70.0,57.6,48.0,63.0,1013.3,1010.2,1016.2,1.5,1.3,18.4,17.1,19.4,18.4,26.8,65.2,65.1,3.9,24.9,95.0,1.1,3.0,26.2,2.0,10.6,25712.333333333336
10-01T08:00:00,67.9,63.0,73.9,57.3,46.9,64.0,1013.7,1010.6,1016.6,3.3,0.5,19.9,20.6,17.4,18.1,24.1,67.9,67.9,4.5,17.3,144.0,1.1,3.0,23.1,4.0,18.2,26151.541666666664
10-01T09:00:00,70.8,64.9,79.0,56.7,46.0,63.0,1013.9,1010.7,1016.8,6.0,0.2,21.1,20.1,23.8,15.7,19.4,70.8,70.8,4.9,17.1,225.0,1.7,7.0,26.3,4.0,15.7,26338.375
10-01T10:00:00,72.8,66.0,82.0,56.5,45.0,63.0,1013.8,1010.6,1016.8,7.9,0.1,22.0,23.6,19.0,19.3,16.1,72.8,72.7,6.5,10.7,243.0,4.7,7.0,42.3,6.0,21.4,26881.875
10-01T11:00:00,73.5,66.9,82.0,57.3,48.9,63.0,1013.6,1010.4,1016.6,8.6,0.1,24.4,26.3,20.8,15.5,13.0,73.5,73.5,8.8,2.9,250.0,8.2,7.0,61.1,6.0,27.7,27746.58333333333
10-01T12:00:00,73.5,66.9,81.0,57.8,51.1,63.0,1013.1,1009.8,1016.1,8.6,0.1,26.3,25.9,24.0,12.8,11.0,73.5,73.5,10.8,0.0,253.0,10.2,7.0,69.0,6.0,26.3,29040.458333333336
10-01T13:00:00,73.3,68.0,81.0,58.1,52.0,63.0,1012.4,1009.1,1015.4,8.4,0.0,26.1,28.4,25.2,12.6,7.7,73.3,73.3,11.8,0.2,255.0,11.5,7.0,73.6,6.0,23.5,30528.58333333333
10-01T14:00:00,72.8,66.9,80.1,58.0,52.0,63.0,1012.0,1008.6,1014.8,7.9,0.0,26.1,28.8,24.7,12.6,7.8,72.8,72.8,12.7,0.0,256.0,12.3,7.0,77.3,6.0,20.6,31732.166666666664
