date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019,Megawatts_2020,Megawatts_2021
09-26T13:00:00,73.4,68.0,80.1,59.3,55.0,64.0,1012.2,1008.9,1014.9,8.4,0.0,27.1,28.9,23.3,15.5,5.2,73.4,73.4,11.9,0.2,255.0,11.6,7.0,74.6,6.0,22.5,378613.0,313064.0,258808.0
09-26T14:00:00,73.0,68.0,79.0,59.2,54.0,64.0,1011.7,1008.4,1014.4,8.0,0.0,24.2,33.3,23.6,13.2,5.8,73.0,73.0,12.8,0.0,256.0,12.4,7.0,77.1,6.0,20.0,386645.0,334319.0,269430.0
09-26T15:00:00,72.2,66.9,79.0,59.3,54.0,63.0,1011.3,1008.1,1014.1,7.2,0.0,23.1,33.3,24.7,12.6,6.4,72.2,72.2,13.2,0.0,257.0,12.9,7.0,80.4,6.0,17.5,395431.0,356778.0,285459.0
09-26T16:00:00,71.0,66.0,77.0,59.3,54.0,63.0,1011.1,1007.9,1013.9,6.1,0.0,23.0,32.1,22.6,12.1,10.3,71.0,71.0,12.9,0.0,257.0,12.4,7.0,78.1,6.0,19.2,400760.0,373631.0,302814.0
09-26T17:00:00,69.4,64.9,75.0,59.5,54.0,63.9,1011.1,1007.9,1013.9,4.5,0.1,25.9,30.8,19.8,13.5,10.0,69.4,69.4,11.6,0.2,256.0,11.3,7.0,79.6,6.0,18.2,403589.0,382835.0,319609.0
09-26T18:00:00,67.8,64.0,73.0,59.7,55.0,64.0,1011.2,1008.1,1013.9,3.1,0.3,22.0,31.4,20.4,13.3,12.9,67.8,67.8,10.0,0.4,256.0,9.6,7.0,69.6,6.0,26.9,401241.0,379477.0,328015.0
09-26T19:00:00,67.2,63.0,72.0,59.8,55.0,63.0,1011.5,1008.3,1014.2,2.7,0.5,34.7,20.5,17.5,12.7,14.6,67.3,67.2,8.3,1.1,253.0,7.8,7.0,59.5,6.0,34.1,402655.0,376942.0,333223.0
09-26T20:00:00,66.9,63.0,72.0,59.7,55.0,64.0,1011.9,1008.8,1014.6,2.5,0.6,39.0,20.0,12.0,14.9,14.0,67.0,66.9,6.8,6.9,249.0,6.0,7.0,46.4,6.0,35.6,388768.0,361309.0,323463.0
09-26T21:00:00,66.7,63.0,72.0,59.9,55.0,64.0,1012.1,1009.1,1014.8,2.3,0.6,39.3,22.7,10.7,11.6,15.6,66.8,66.7,5.6,10.2,241.0,4.4,6.0,37.3,7.0,30.7,369525.0,344362.0,311226.0
09-26T22:00:00,66.5,63.0,71.1,59.7,55.0,64.0,1012.3,1009.2,1014.9,2.1,0.7,35.4,24.2,10.5,13.7,16.2,66.6,66.5,4.8,18.9,232.0,3.0,6.0,27.5,7.0,25.1,340722.0,324882.0,292079.0
09-26T23:00:00,66.1,62.1,71.1,59.6,55.0,63.0,1012.3,1009.3,1015.0,1.9,0.7,36.7,23.1,13.1,10.2,17.0,66.2,66.1,4.4,20.3,232.0,2.0,7.0,24.0,6.0,21.8,289003.0,278744.0,273134.0
09-27T00:00:00,65.6,62.1,70.0,59.5,55.0,63.0,1012.2,1009.1,1014.9,1.6,1.0,39.5,19.0,8.9,12.6,20.0,65.7,65.6,4.3,20.0,231.0,1.2,7.0,23.4,3.0,16.1,320889.0,311285.0,284319.0
09-27T01:00:00,65.3,62.1,70.0,59.5,54.0,63.0,1012.3,1009.2,1014.9,1.4,1.1,36.2,17.2,11.0,15.0,20.7,65.4,65.3,4.1,23.6,229.0,0.6,7.0,19.7,3.0,18.6,282615.0,273113.0,252684.0
09-27T02:00:00,64.8,61.0,69.1,59.3,55.0,63.0,1012.0,1009.1,1014.7,1.1,1.4,33.2,19.1,10.1,12.6,25.1,64.9,64.8,3.3,34.7,221.0,0.2,7.0,17.4,3.0,16.7,274243.0,262991.0,246637.0
09-27T03:00:00,64.4,61.0,68.0,59.1,55.0,63.0,1011.8,1008.9,1014.5,1.0,1.6,29.2,21.7,9.5,13.3,26.3,64.5,64.4,3.3,33.6,81.0,0.1,3.0,20.0,7.0,16.6,269311.0,257029.0,245027.0
09-27T04:00:00,64.1,60.1,68.0,58.9,54.0,63.0,1011.9,1009.0,1014.6,0.9,1.8,25.2,20.1,9.5,12.7,32.6,64.2,64.1,3.4,30.5,89.0,0.5,3.0,22.7,7.0,14.4,272728.0,254567.0,250588.0
09-27T05:00:00,64.0,60.1,68.0,58.8,53.1,63.0,1012.2,1009.1,1014.7,0.8,1.8,25.0,19.3,12.2,11.2,32.3,64.1,64.0,3.3,33.3,91.0,0.7,3.0,21.6,7.0,10.6,288336.0,255246.0,265363.0
09-27T06:00:00,64.3,60.1,69.1,58.5,53.1,63.0,1012.6,1009.6,1015.1,1.0,1.7,12.8,18.8,20.1,15.2,33.2,64.3,64.3,3.9,24.2,100.0,0.6,3.0,23.7,7.0,11.7,314057.0,259326.0,289157.0
09-27T07:00:00,65.7,62.1,71.1,58.8,53.1,64.0,1013.0,1009.9,1015.6,1.7,1.0,15.0,17.1,19.9,19.2,28.8,65.8,65.7,3.8,27.3,117.0,0.9,3.0,21.9,4.0,11.6,329624.0,259605.0,305194.0
09-27T08:00:00,68.2,64.0,73.9,58.6,52.0,64.0,1013.3,1010.4,1015.9,3.6,0.4,16.4,20.4,19.2,19.4,24.6,68.2,68.2,4.4,20.0,170.0,1.1,3.0,18.1,4.0,17.8,334349.0,262413.0,312007.0
09-27T09:00:00,71.0,64.9,79.0,58.1,50.0,64.0,1013.6,1010.5,1016.2,6.1,0.1,19.1,21.1,22.6,17.4,19.9,71.0,71.0,5.0,16.7,234.0,2.1,7.0,30.1,4.0,14.8,338844.0,263464.0,312146.0
09-27T10:00:00,72.7,66.9,80.1,58.1,50.0,64.0,1013.5,1010.3,1016.1,7.8,0.1,21.0,22.9,20.6,20.1,15.5,72.7,72.7,6.8,8.9,244.0,5.2,7.0,47.9,6.0,21.2,340920.0,266966.0,309866.0
09-27T11:00:00,73.4,68.0,82.0,58.5,52.0,64.0,1013.3,1010.1,1016.0,8.5,0.0,24.0,25.9,21.5,16.7,11.9,73.4,73.4,9.0,2.2,250.0,8.3,7.0,63.2,6.0,25.4,340826.0,277112.0,306780.0
09-27T12:00:00,73.5,68.0,80.1,59.0,54.0,64.0,1012.9,1009.6,1015.5,8.6,0.0,25.9,26.4,25.0,13.1,9.6,73.5,73.5,10.8,0.0,252.0,10.1,7.0,67.9,6.0,26.4,344168.0,294614.0,305598.0
09-27T13:00:00,73.3,68.0,80.1,59.1,55.0,64.0,1012.2,1009.0,1014.9,8.4,0.0,26.6,28.7,23.1,15.8,5.9,73.3,73.3,11.9,0.2,254.0,11.5,7.0,73.9,6.0,22.7,341562.0,318530.0,306990.0
09-27T14:00:00,72.9,68.0,79.0,59.0,54.0,64.0,1011.7,1008.5,1014.5,8.0,0.0,23.4,32.9,23.7,13.3,6.7,72.9,72.9,12.8,0.0,256.0,12.3,7.0,77.4,6.0,19.5,342600.0,345383.0,312404.0
09-27T15:00:00,72.1,66.9,79.0,59.1,54.0,63.0,1011.4,1008.1,1014.1,7.1,0.0,22.7,32.3,25.0,13.0,7.0,72.1,72.1,13.2,0.0,257.0,12.8,7.0,81.7,6.0,15.9,346797.0,371046.0,322352.0
09-27T16:00:00,70.9,66.0,77.0,59.2,53.1,63.0,1011.2,1008.0,1013.9,6.0,0.0,22.8,31.1,22.1,13.0,11.0,70.9,70.9,12.8,0.2,256.0,12.3,7.0,77.4,6.0,19.1,350877.0,391272.0,331674.0
09-27T17:00:00,69.3,64.9,75.0,59.4,54.0,63.9,1011.1,1008.1,1013.9,4.4,0.1,25.5,30.4,19.6,14.0,10.5,69.3,69.3,11.6,0.2,256.0,11.2,7.0,79.6,6.0,18.3,354143.0,402342.0,341247.0
09-27T18:00:00,67.7,63.9,73.0,59.7,55.0,64.0,1011.3,1008.3,1013.9,3.0,0.4,21.8,31.0,20.2,13.4,13.6,67.7,67.7,9.9,0.4,255.0,9.5,7.0,69.2,6.0,27.1,356574.0,399091.0,347725.0
09-27T19:00:00,67.2,63.0,72.0,59.7,55.0,63.1,1011.6,1008.5,1014.2,2.7,0.5,34.6,20.2,17.9,12.5,14.8,67.2,67.2,8.2,1.1,253.0,7.8,7.0,58.8,6.0,34.9,361340.0,393818.0,352604.0
