date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2020
02-17T11:00:00,62.4,55.0,72.0,43.8,28.0,55.0,1018.6,1012.8,1023.3,1.7,4.3,14.2,19.2,22.8,22.8,21.0,62.4,62.4,7.0,12.9,213.0,1.7,7.0,22.5,4.0,16.2,240151.0
02-17T12:00:00,63.2,55.9,72.0,44.6,28.0,55.0,1018.0,1012.3,1022.6,2.0,3.8,13.9,20.4,23.4,23.2,19.1,63.2,63.2,8.9,6.2,242.0,5.3,7.0,40.1,6.0,23.9,239036.0
02-17T13:00:00,63.2,57.0,72.0,45.5,28.9,55.9,1017.2,1011.6,1021.7,1.8,3.6,14.9,19.1,22.3,24.6,19.1,63.2,63.2,10.8,1.6,248.0,8.0,7.0,52.3,6.0,25.5,242702.0
02-17T14:00:00,62.8,57.0,70.0,46.3,34.0,55.9,1016.6,1011.1,1021.1,1.5,3.7,13.2,18.6,25.5,22.5,20.1,62.8,62.8,11.9,0.9,250.0,9.5,7.0,58.9,6.0,24.3,249525.0
02-17T15:00:00,62.1,57.0,69.1,46.8,37.0,55.9,1016.4,1011.1,1020.9,1.2,4.1,12.7,20.7,24.1,23.1,19.5,62.1,62.0,12.6,0.7,253.0,10.2,7.0,62.2,6.0,21.7,262100.0
02-17T16:00:00,61.0,55.9,66.9,47.3,36.0,55.9,1016.3,1011.1,1020.8,0.8,4.8,11.5,20.9,21.4,22.8,23.4,61.0,60.9,12.5,0.7,254.0,10.2,7.0,65.7,6.0,19.1,282932.0
02-17T17:00:00,59.7,55.0,64.9,47.3,37.0,55.9,1016.4,1011.2,1020.8,0.6,5.9,11.7,22.0,23.0,24.2,19.1,59.7,59.7,11.6,0.7,256.0,9.4,7.0,64.2,6.0,20.2,309233.0
02-17T18:00:00,58.2,54.0,63.0,47.8,37.9,55.9,1016.6,1011.4,1021.1,0.3,7.1,9.8,24.5,25.9,18.2,21.6,58.2,58.2,10.1,2.0,257.0,7.8,7.0,58.8,6.0,22.4,328141.0
02-17T19:00:00,57.8,54.0,63.0,47.7,37.9,55.9,1016.9,1011.8,1021.3,0.2,7.4,20.9,22.0,19.2,18.5,19.4,57.8,57.8,8.9,2.2,259.0,6.2,7.0,53.0,6.0,19.9,321998.0
02-17T20:00:00,57.5,53.1,62.2,47.1,37.0,55.0,1017.2,1012.2,1021.7,0.2,7.7,28.1,19.7,14.1,19.4,18.7,57.5,57.4,7.8,9.3,264.0,4.5,7.0,42.0,6.0,18.2,312597.0
02-17T21:00:00,57.1,53.1,62.1,46.9,35.1,55.9,1017.4,1012.6,1021.9,0.1,8.0,33.7,15.5,14.5,17.4,18.9,57.1,57.0,6.8,13.3,273.0,2.8,7.0,27.8,6.0,17.5,298872.0
02-17T22:00:00,56.7,52.0,61.0,46.7,34.0,55.0,1017.6,1012.8,1022.1,0.1,8.4,30.8,16.6,14.3,17.5,20.9,56.7,56.5,6.5,13.0,276.0,1.3,7.0,22.9,3.0,16.2,278334.0
02-17T23:00:00,56.5,52.0,61.0,46.4,34.0,55.0,1017.6,1012.6,1022.1,0.1,8.6,32.8,16.6,11.2,19.6,19.8,56.5,56.3,6.0,14.2,282.0,0.4,3.0,18.8,7.0,15.9,260737.0
02-18T00:00:00,55.8,51.1,60.1,45.9,33.1,55.0,1017.6,1012.5,1022.1,0.1,9.3,28.4,18.6,11.0,19.6,22.3,55.8,55.5,6.0,14.7,31.0,0.7,3.0,23.0,7.0,13.5,249064.0
02-18T01:00:00,54.9,50.0,60.1,45.5,32.0,55.0,1017.5,1012.3,1021.9,0.0,10.1,27.7,18.2,12.1,18.4,23.5,54.9,54.6,5.8,17.1,56.0,1.3,3.0,28.5,2.0,14.9,241022.0
02-18T02:00:00,54.0,48.9,59.0,45.2,33.1,55.0,1017.3,1012.0,1021.9,0.0,11.1,26.1,20.0,9.6,21.7,22.7,54.0,53.6,5.1,21.8,63.0,1.7,3.0,30.3,2.0,14.5,236065.0
02-18T03:00:00,53.2,48.0,57.9,44.8,30.9,54.0,1017.0,1011.6,1021.7,0.0,11.8,28.3,16.7,12.8,17.5,24.6,53.2,52.8,5.0,25.1,66.0,1.9,3.0,28.8,2.0,17.7,235874.0
02-18T04:00:00,52.7,46.9,57.9,44.3,30.9,54.0,1016.9,1011.6,1021.7,0.0,12.3,24.7,17.2,13.8,19.3,24.9,52.7,52.1,5.0,23.2,74.0,2.0,3.0,34.2,2.0,15.2,243704.0
02-18T05:00:00,52.2,46.0,57.9,44.0,30.9,54.0,1017.0,1011.6,1021.7,0.0,12.8,25.1,17.7,13.9,17.4,25.9,52.2,51.5,4.9,19.3,70.0,2.3,3.0,33.2,2.0,17.1,264685.0
02-18T06:00:00,52.0,46.0,57.9,43.4,30.0,54.0,1017.3,1011.9,1022.1,0.0,13.0,19.3,19.0,18.8,17.0,25.8,52.0,51.3,5.1,19.6,69.0,2.4,3.0,34.2,2.0,20.1,292881.0
02-18T07:00:00,52.6,46.9,57.9,43.2,28.9,54.0,1017.8,1012.3,1022.6,0.0,12.4,12.2,14.8,24.2,22.9,26.0,52.6,51.8,5.6,15.3,73.0,3.0,3.0,37.3,2.0,19.3,303431.0
02-18T08:00:00,54.7,48.9,60.1,43.7,28.9,54.0,1018.2,1012.7,1023.0,0.1,10.3,11.9,17.7,21.7,25.5,23.2,54.7,54.3,5.7,14.0,67.0,3.1,3.0,35.2,2.0,23.1,295135.0
02-18T09:00:00,57.7,52.0,64.8,44.1,30.0,55.0,1018.6,1012.7,1023.4,0.4,7.6,11.0,18.3,23.7,24.0,23.0,57.7,57.6,6.2,13.8,81.0,2.7,3.0,34.3,2.0,13.4,278791.0
02-18T10:00:00,60.3,54.0,69.1,44.1,28.9,55.0,1018.7,1012.9,1023.3,1.0,5.6,12.8,16.0,19.7,28.1,23.4,60.3,60.3,6.5,13.2,103.0,1.3,3.0,21.9,4.0,17.6,266735.0
02-18T11:00:00,62.3,55.0,72.0,43.9,28.8,55.0,1018.6,1012.8,1023.3,1.7,4.4,13.4,19.4,22.6,23.1,21.4,62.3,62.3,7.1,12.0,215.0,1.9,7.0,23.5,4.0,16.2,262032.0
02-18T12:00:00,63.1,55.9,72.0,44.7,28.4,55.0,1018.1,1012.3,1022.6,1.9,3.8,13.0,21.0,23.2,22.8,20.0,63.1,63.1,9.0,5.6,243.0,5.4,7.0,41.5,6.0,23.9,260331.0
02-18T13:00:00,63.1,57.0,72.0,45.7,28.9,55.9,1017.3,1011.6,1021.7,1.7,3.6,14.6,18.8,22.5,25.4,18.8,63.1,63.1,10.9,1.8,249.0,8.2,7.0,53.4,6.0,25.3,260950.0
02-18T14:00:00,62.6,57.0,70.0,46.5,34.0,55.9,1016.7,1011.1,1021.0,1.5,3.8,12.9,18.7,25.5,22.8,20.1,62.6,62.6,11.9,0.9,251.0,9.6,7.0,59.6,6.0,24.5,265762.0
02-18T15:00:00,61.9,57.0,69.1,47.0,37.0,55.9,1016.4,1011.1,1020.8,1.1,4.2,12.3,21.0,24.2,22.9,19.6,61.9,61.9,12.5,0.9,253.0,10.4,7.0,64.0,6.0,20.5,275246.0
02-18T16:00:00,60.9,55.9,66.9,47.4,37.0,55.9,1016.3,1011.1,1020.8,0.8,4.9,11.3,21.2,22.1,22.8,22.6,60.9,60.8,12.5,0.7,254.0,10.4,7.0,67.4,6.0,18.0,292000.0
02-18T17:00:00,59.6,55.0,64.9,47.5,37.9,55.9,1016.4,1011.3,1020.7,0.5,6.0,11.5,22.4,22.9,24.6,18.6,59.6,59.5,11.6,0.7,256.0,9.5,7.0,65.3,6.0,19.7,315356.0
02-18T18:00:00,58.1,54.0,63.0,48.0,39.0,55.9,1016.6,1011.6,1021.0,0.3,7.2,9.6,24.0,26.7,18.5,21.2,58.1,58.1,10.3,1.6,257.0,8.0,7.0,59.7,6.0,22.1,334266.0
02-18T19:00:00,57.7,54.0,62.1,47.8,37.9,55.9,1016.9,1011.8,1021.2,0.2,7.5,20.7,21.7,19.8,17.9,20.0,57.7,57.6,9.0,1.8,259.0,6.3,7.0,55.1,6.0,18.6,329354.0
02-18T20:00:00,57.4,53.1,62.1,47.4,37.0,55.0,1017.1,1012.3,1021.6,0.2,7.8,26.9,20.2,14.7,19.7,18.5,57.4,57.3,7.9,8.7,263.0,4.6,7.0,42.7,6.0,19.5,319767.0
02-18T21:00:00,57.0,53.1,62.1,47.1,36.0,55.9,1017.4,1012.7,1021.8,0.1,8.1,32.7,15.0,15.3,17.2,19.9,57.0,56.9,6.9,14.0,271.0,2.9,7.0,28.0,6.0,18.0,304531.0
02-18T22:00:00,56.6,52.0,61.0,46.9,35.1,55.0,1017.6,1012.8,1022.0,0.1,8.5,30.1,15.8,15.6,18.3,20.1,56.6,56.5,6.5,13.4,269.0,1.2,7.0,23.4,3.0,16.2,284197.0
02-18T23:00:00,56.4,52.0,61.0,46.6,34.0,55.0,1017.6,1012.6,1021.9,0.1,8.7,32.8,16.4,12.2,19.8,18.8,56.4,56.3,6.1,15.3,270.0,0.5,3.0,18.2,7.0,15.8,265435.0
02-19T00:00:00,55.7,51.1,60.1,46.1,34.0,55.0,1017.5,1012.4,1022.0,0.1,9.4,27.9,19.4,11.3,20.1,21.3,55.7,55.5,6.0,16.2,22.0,0.6,3.0,21.9,7.0,13.3,275208.0
02-19T01:00:00,54.9,50.0,60.1,45.8,33.1,55.0,1017.5,1012.2,1021.8,0.0,10.1,27.5,17.8,12.7,18.7,23.4,54.9,54.6,5.8,17.8,52.0,1.3,3.0,27.8,2.0,14.8,245422.0
