date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,AvgMegawatts2019-2020-2021
01-17T12:00:00,64.2,57.0,75.0,41.0,21.0,55.0,1019.1,1014.7,1023.4,2.6,3.3,16.4,22.8,20.9,22.2,17.7,64.2,64.2,6.8,11.8,237.0,2.7,7.0,27.7,6.0,18.7,265415.6666666667
01-17T13:00:00,64.3,57.0,75.0,42.4,23.0,55.0,1018.3,1013.8,1022.5,2.6,3.3,16.1,23.2,20.6,24.5,15.6,64.3,64.3,8.8,5.3,248.0,5.9,7.0,48.7,6.0,20.6,266775.0
01-17T14:00:00,63.8,57.0,73.9,43.9,27.0,55.0,1017.8,1013.4,1022.0,2.2,3.4,16.1,23.4,21.3,23.2,16.1,63.8,63.7,9.7,3.6,253.0,7.4,7.0,57.8,6.0,20.5,272304.6666666667
01-17T15:00:00,62.8,57.0,71.1,44.9,30.0,55.6,1017.7,1013.2,1021.8,1.5,3.8,15.4,23.9,22.2,23.4,15.1,62.8,62.8,10.0,2.7,255.0,8.1,7.0,62.6,6.0,20.3,280864.0
01-17T16:00:00,61.6,55.9,70.0,45.4,30.9,55.0,1017.7,1013.3,1021.7,1.2,4.5,15.6,25.5,15.8,25.2,17.9,61.6,61.6,9.9,2.0,256.0,7.9,7.0,61.3,6.0,21.8,295430.3333333333
01-17T17:00:00,60.0,55.0,66.9,46.0,32.0,55.0,1017.8,1013.3,1021.8,0.7,5.7,14.9,26.9,20.5,22.8,14.9,60.0,59.9,9.0,2.2,259.0,7.0,7.0,58.1,6.0,20.4,320090.0
01-17T18:00:00,58.7,54.0,64.0,46.5,33.1,55.9,1018.1,1013.6,1022.1,0.4,6.7,17.2,26.9,19.9,21.6,14.4,58.7,58.7,7.9,5.8,262.0,5.5,7.0,50.3,6.0,20.5,324921.6666666667
01-17T19:00:00,58.3,54.0,64.0,46.4,32.0,55.9,1018.4,1013.8,1022.5,0.3,7.0,31.1,21.4,16.2,18.7,12.7,58.3,58.2,6.7,11.6,265.0,4.2,7.0,42.4,6.0,17.5,317993.3333333333
01-17T20:00:00,58.1,53.6,64.0,46.0,30.9,55.9,1018.6,1013.8,1022.7,0.3,7.2,37.4,18.1,15.1,17.1,12.4,58.1,58.0,5.7,19.8,272.0,2.8,7.0,27.3,6.0,17.1,308815.0
01-17T21:00:00,57.6,53.1,63.0,45.4,30.0,55.9,1018.8,1014.2,1023.0,0.2,7.6,38.4,16.6,14.1,19.1,11.9,57.6,57.5,5.3,20.2,276.0,1.2,7.0,18.4,6.0,15.4,296012.0
