HLY_TEMP_NORMAL_SF,HLY_TEMP_10PCTL_SF,HLY_TEMP_90PCTL_SF,HLY_DEWP_NORMAL_SF,HLY_DEWP_10PCTL_SF,HLY_DEWP_90PCTL_SF,HLY_PRES_NORMAL_SF,HLY_PRES_10PCTL_SF,HLY_PRES_90PCTL_SF,HLY_CLDH_NORMAL_SF,HLY_HTDH_NORMAL_SF,HLY_CLOD_PCTCLR_SF,HLY_CLOD_PCTFEW_SF,HLY_CLOD_PCTSCT_SF,HLY_CLOD_PCTBKN_SF,HLY_CLOD_PCTOVC_SF,HLY_HIDX_NORMAL_SF,HLY_WCHL_NORMAL_SF,HLY_WIND_AVGSPD_SF,HLY_WIND_PCTCLM_SF,HLY_WIND_VCTDIR_SF,HLY_WIND_VCTSPD_SF,HLY_WIND_1STDIR_SF,HLY_WIND_1STPCT_SF,HLY_WIND_2NDDIR_SF,HLY_WIND_2NDPCT_SF
0.1676758,0.16790146,0.16754279,0.16771346,0.16773209,0.16762157,0.17372115,0.16880883,0.1754041,0.16750705,0.17396435,0.16944075,0.16768876,0.1677184,0.16861357,0.16991286,0.1676758,0.16768776,0.16764523,0.17168604,0.16967331,0.1675728,0.16899689,0.16761656,0.17334324,0.16779354
0.20698962,0.20716082,0.2068891,0.207018,0.2070321,0.20694843,0.21146102,0.20785362,0.21273357,0.20686167,0.21164358,0.20832181,0.20699948,0.20702288,0.20770586,0.20867504,0.20698962,0.20699868,0.2069665,0.20995744,0.20849681,0.20691165,0.20800316,0.20694467,0.2111542,0.20707907
0.23762327,0.23774679,0.23754975,0.23764372,0.23765388,0.23759311,0.24082297,0.23824501,0.24196206,0.2375299,0.24098128,0.23858464,0.23763013,0.2376471,0.23813982,0.23883772,0.23762327,0.23762992,0.23760638,0.23974507,0.23871106,0.23756623,0.23835316,0.23759058,0.24059236,0.23768851
0.27171752,0.27185345,0.27163723,0.2717401,0.2717513,0.27168465,0.27530366,0.2724019,0.27637532,0.27161556,0.27545655,0.27277812,0.2717253,0.27174354,0.2722847,0.27306002,0.27171752,0.27172473,0.271699,0.27409595,0.2729177,0.2716553,0.27251837,0.27168173,0.27506408,0.2717887
0.29624525,0.29635847,0.29617837,0.29626405,0.29627335,0.2962179,0.29920664,0.29681587,0.30012524,0.29616025,0.29933673,0.29712722,0.29625168,0.29626712,0.29671857,0.29736084,0.29624525,0.29625127,0.29622978,0.29820937,0.29724327,0.2961934,0.29691422,0.29621544,0.29900202,0.2963046
0.30580634,0.30589345,0.3057548,0.3058208,0.305828,0.3057852,0.30808613,0.30624506,0.3088175,0.30574092,0.3081893,0.3064852,0.30581135,0.30582315,0.30617028,0.30666497,0.30580634,0.30581105,0.30579448,0.307318,0.30657455,0.30576643,0.3063205,0.30578342,0.30792832,0.3058521
0.3021449,0.30222163,0.30209953,0.3021576,0.302164,0.3021263,0.3041596,0.30253127,0.30478105,0.3020873,0.30424774,0.302743,0.3021493,0.3021596,0.3024653,0.30290163,0.3021449,0.30214897,0.30213442,0.30348074,0.30282167,0.30210975,0.30259755,0.30212468,0.3040221,0.3021851
0.26476878,0.26482356,0.2647364,0.26477793,0.2647824,0.26475546,0.2662046,0.26504484,0.26665455,0.26472762,0.26626834,0.26519585,0.26477194,0.26477933,0.26499778,0.265309,0.26476878,0.26477173,0.2647613,0.2657208,0.26525205,0.26474366,0.26509234,0.26475433,0.26610565,0.26479754
0.23220535,0.2322419,0.23218374,0.23221141,0.23221445,0.23219651,0.23316343,0.23238944,0.233465,0.23217791,0.23320615,0.23249018,0.23220743,0.23221236,0.23235805,0.23256563,0.23220535,0.23220731,0.23220038,0.23284058,0.23252769,0.2321886,0.23242104,0.23219576,0.2330976,0.23222454
0.20723347,0.20726028,0.20721765,0.20723791,0.20724013,0.20722704,0.20793632,0.20736842,0.20815533,0.20721337,0.20796736,0.20744231,0.20723501,0.20723866,0.20734541,0.20749761,0.20723347,0.20723489,0.20722984,0.20769948,0.20746979,0.20722122,0.20739162,0.20722644,0.20788808,0.20724756
0.1875286,0.18754807,0.1875171,0.18753184,0.18753345,0.18752389,0.18803953,0.18762675,0.18819973,0.18751399,0.1880622,0.1876805,0.18752973,0.18753237,0.18761006,0.18772069,0.1875286,0.18752965,0.18752593,0.18786736,0.1877005,0.18751967,0.18764366,0.18752353,0.18800437,0.18753883
0.16339365,0.16340896,0.16338454,0.16339618,0.16339742,0.16338995,0.16379693,0.1634711,0.16392334,0.16338211,0.16381481,0.16351348,0.16339451,0.1633966,0.16345787,0.16354524,0.16339365,0.16339448,0.16339153,0.163661,0.16352928,0.16338658,0.16348442,0.1633896,0.1637692,0.16340171
0.143757,0.1437666,0.14375128,0.14375858,0.14375938,0.14375466,0.1440097,0.14380552,0.14408875,0.14374977,0.14402092,0.14383209,0.14375755,0.14375886,0.14379722,0.14385203,0.143757,0.1437575,0.14375567,0.14392452,0.14384198,0.1437526,0.1438139,0.14375448,0.14399233,0.14376204
0.12590243,0.12590872,0.12589863,0.12590346,0.12590395,0.12590088,0.12606932,0.12593445,0.12612166,0.12589762,0.1260767,0.12595199,0.12590274,0.12590362,0.125929,0.12596516,0.12590243,0.12590273,0.1259015,0.12601307,0.12595855,0.12589948,0.12594,0.12590072,0.12605786,0.12590574
