date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019,Megawatts_2020,Megawatts_2021
11-13T18:00:00,62.7,57.9,68.0,51.8,42.1,59.0,1016.0,1012.1,1019.9,0.8,3.2,26.2,25.7,16.9,19.1,12.0,62.7,62.7,8.1,5.6,263.0,7.3,7.0,64.6,6.0,18.9,27625.416666666668,27363.166666666668,26545.916666666668
11-13T19:00:00,62.3,57.9,66.9,51.6,41.0,59.0,1016.2,1012.3,1020.0,0.7,3.5,37.5,18.9,15.5,15.7,12.3,62.3,62.2,6.7,9.6,264.0,5.3,7.0,52.6,6.0,20.0,26866.75,26571.916666666668,25500.166666666668
11-13T20:00:00,62.1,57.7,66.9,51.1,39.0,59.0,1016.4,1012.5,1020.4,0.7,3.6,39.7,17.2,16.3,15.3,11.5,62.1,62.1,5.6,17.8,267.0,3.7,7.0,34.1,6.0,20.1,26068.416666666668,25794.0,24604.08333333333
11-13T21:00:00,61.7,57.0,66.9,50.6,35.1,59.0,1016.7,1012.7,1020.6,0.5,3.9,42.0,17.5,15.8,14.1,10.7,61.7,61.6,5.1,18.7,267.0,1.8,7.0,23.7,6.0,13.3,24776.916666666668,24769.416666666668,23798.25
11-13T22:00:00,61.1,57.0,66.0,50.0,36.0,57.9,1016.9,1012.9,1020.7,0.4,4.3,41.5,16.3,13.2,17.0,12.0,61.1,61.1,4.6,23.1,307.0,0.6,3.0,15.7,7.0,14.4,23150.33333333333,23357.666666666668,22562.25
11-13T23:00:00,60.9,55.9,66.0,49.0,33.1,57.9,1016.8,1012.9,1020.8,0.4,4.5,45.7,14.8,13.3,14.3,11.9,60.9,60.9,4.6,22.0,33.0,0.6,3.0,21.4,2.0,12.7,21576.25,21991.454545454544,21289.75
11-14T00:00:00,60.2,55.0,66.0,48.2,30.9,57.9,1016.8,1012.7,1020.7,0.4,5.2,42.2,17.8,12.8,13.3,13.8,60.2,60.2,4.7,21.1,46.0,0.9,3.0,25.1,7.0,11.6,20590.615384615383,21039.153846153848,20335.53846153846
11-14T01:00:00,59.1,54.0,64.0,47.6,28.9,57.0,1016.6,1012.6,1020.4,0.3,6.1,40.1,18.3,12.6,12.4,16.6,59.1,59.1,4.4,23.3,57.0,1.4,3.0,26.9,2.0,17.1,19760.166666666668,20241.416666666668,19527.83333333333
11-14T02:00:00,58.0,53.1,63.0,47.0,28.9,57.0,1016.6,1012.6,1020.4,0.1,7.1,40.8,15.2,16.0,11.2,16.8,58.0,58.0,4.2,25.3,54.0,1.7,3.0,27.3,2.0,20.5,19312.666666666668,19716.5,18914.25
11-14T03:00:00,57.2,52.0,62.1,46.4,28.9,57.0,1016.4,1012.6,1020.3,0.1,7.9,39.8,16.3,16.3,10.3,17.3,57.2,57.1,3.9,29.3,59.0,1.9,3.0,27.1,2.0,18.9,19173.58333333333,19530.83333333333,18611.58333333333
11-14T04:00:00,56.7,51.1,62.1,45.8,28.0,55.9,1016.4,1012.3,1020.2,0.1,8.4,37.1,12.8,14.6,15.8,19.7,56.7,56.5,3.7,31.9,61.0,2.0,3.0,30.2,2.0,18.9,19657.08333333333,19683.5,18641.416666666668
11-14T05:00:00,56.3,50.0,62.1,45.2,28.0,55.9,1016.5,1012.5,1020.3,0.1,8.8,39.5,15.0,13.2,13.4,18.9,56.3,56.1,3.9,28.7,59.0,2.0,3.0,28.8,2.0,18.9,21054.166666666668,20291.0,19006.916666666668
11-14T06:00:00,56.0,50.0,61.5,44.9,28.0,55.9,1016.8,1012.8,1020.7,0.1,9.0,26.4,22.5,17.8,15.4,18.0,56.0,55.9,3.8,32.4,63.0,1.8,3.0,27.8,2.0,15.5,23023.58333333333,20966.33333333333,19359.33333333333
11-14T07:00:00,57.2,51.1,63.0,44.3,26.1,55.9,1017.3,1013.2,1021.2,0.1,7.9,17.5,23.2,21.3,20.5,17.5,57.2,57.0,4.6,19.6,60.0,2.3,3.0,30.4,2.0,20.2,23950.666666666668,21041.83333333333,19594.416666666668
11-14T08:00:00,60.0,54.0,66.0,44.4,25.0,57.0,1017.8,1013.6,1021.6,0.5,5.4,16.4,24.0,22.4,18.8,18.5,60.0,60.0,4.8,18.4,53.0,2.5,3.0,27.3,2.0,24.4,23776.33333333333,20746.25,19554.416666666668
